Step 1130: Loss: 8.1423 | Avg: 9.5168
Step 1140: Loss: 8.2090 | Avg: 9.5054
Step 1150: Loss: 8.2742 | Avg: 9.4948
Step 1160: Loss: 8.1745 | Avg: 9.4835
Step 1170: Loss: 7.9838 | Avg: 9.4708
Step 1180: Loss: 8.5477 | Avg: 9.4631
Step 1190: Loss: 8.1002 | Avg: 9.4517
Eval Step 1195: Train: 8.1095 | Val: 8.0717
Step 1200: Loss: 8.3343 | Avg: 9.4425
Step 1210: Loss: 8.1326 | Avg: 9.4317
Step 1220: Loss: 8.4364 | Avg: 9.4236
Step 1230: Loss: 7.8482 | Avg: 9.4109
Step 1240: Loss: 8.0101 | Avg: 9.3997
Step 1250: Loss: 7.7815 | Avg: 9.3869
Eval Step 1250: Train: 8.0389 | Val: 8.0173
Step 1260: Loss: 8.1450 | Avg: 9.3771
Step 1270: Loss: 8.0196 | Avg: 9.3665
Step 1280: Loss: 8.1735 | Avg: 9.3573
Step 1290: Loss: 8.1483 | Avg: 9.3480
Step 1300: Loss: 8.0978 | Avg: 9.3384
Step 1310: Loss: 8.2607 | Avg: 9.3303
Step 1320: Loss: 7.8918 | Avg: 9.3194
Step 1330: Loss: 7.8526 | Avg: 9.3085
Step 1340: Loss: 8.0541 | Avg: 9.2992
Step 1350: Loss: 7.8798 | Avg: 9.2888
Step 1360: Loss: 7.9564 | Avg: 9.2790
Step 1370: Loss: 7.9304 | Avg: 9.2693
Step 1380: Loss: 7.9408 | Avg: 9.2597
Step 1390: Loss: 7.8879 | Avg: 9.2499
Step 1400: Loss: 8.0011 | Avg: 9.2411
Step 1410: Loss: 7.8556 | Avg: 9.2313
Step 1420: Loss: 7.8585 | Avg: 9.2217
Step 1430: Loss: 7.7159 | Avg: 9.2112
Step 1440: Loss: 7.7109 | Avg: 9.2009
Eval Step 1447: Train: 7.7993 | Val: 7.8132
Step 1450: Loss: 7.5197 | Avg: 9.1894
Step 1460: Loss: 7.8967 | Avg: 9.1806
Step 1470: Loss: 7.5860 | Avg: 9.1698
Step 1480: Loss: 7.8873 | Avg: 9.1612
Step 1490: Loss: 7.8772 | Avg: 9.1526
Step 1500: Loss: 7.7810 | Avg: 9.1436
Eval Step 1500: Train: 7.7701 | Val: 7.7698
Step 1510: Loss: 7.5620 | Avg: 9.1332
Step 1520: Loss: 7.9907 | Avg: 9.1257
Step 1530: Loss: 7.7480 | Avg: 9.1167
Step 1540: Loss: 7.7193 | Avg: 9.1077
Step 1550: Loss: 7.7954 | Avg: 9.0993
Step 1560: Loss: 7.3809 | Avg: 9.0884
Step 1570: Loss: 7.5740 | Avg: 9.0788
Step 1580: Loss: 7.9006 | Avg: 9.0714
Step 1590: Loss: 7.3703 | Avg: 9.0607
Step 1600: Loss: 7.8163 | Avg: 9.0530
Step 1610: Loss: 7.5044 | Avg: 9.0434
Step 1620: Loss: 7.3484 | Avg: 9.0331
Step 1630: Loss: 7.7081 | Avg: 9.0250
Step 1640: Loss: 7.4664 | Avg: 9.0155
Step 1650: Loss: 7.4956 | Avg: 9.0064
Step 1660: Loss: 7.7050 | Avg: 8.9986
Eval Step 1667: Train: 7.5961 | Val: 7.5519
Step 1670: Loss: 7.5723 | Avg: 8.9901
Step 1680: Loss: 7.4265 | Avg: 8.9808
Step 1690: Loss: 7.6196 | Avg: 8.9728
Step 1700: Loss: 7.6695 | Avg: 8.9652
Step 1710: Loss: 7.3378 | Avg: 8.9557
Step 1720: Loss: 7.4319 | Avg: 8.9469
Step 1730: Loss: 7.3698 | Avg: 8.9379
Step 1740: Loss: 7.2632 | Avg: 8.9283
Step 1750: Loss: 7.3014 | Avg: 8.9191
Eval Step 1750: Train: 7.4851 | Val: 7.5102
Step 1760: Loss: 7.4959 | Avg: 8.9110
Step 1770: Loss: 7.4726 | Avg: 8.9029
Step 1780: Loss: 7.6520 | Avg: 8.8959
Step 1790: Loss: 7.5118 | Avg: 8.8883
Step 1800: Loss: 7.6564 | Avg: 8.8815
Step 1810: Loss: 7.7555 | Avg: 8.8753
Step 1820: Loss: 7.6729 | Avg: 8.8687
Step 1830: Loss: 7.5147 | Avg: 8.8613
Step 1840: Loss: 7.4433 | Avg: 8.8537
Step 1850: Loss: 7.3650 | Avg: 8.8457
Step 1860: Loss: 7.2880 | Avg: 8.8373
Step 1870: Loss: 7.4334 | Avg: 8.8299
Step 1880: Loss: 7.5232 | Avg: 8.8230
